t,Lambda1,Lambda2,Lambda3,Lambda4,Kdelta
9.747249083027677,0.04227869401412576,8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.751250416805602,0.04227869401411155,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.755251750583529,0.04227869401409645,8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.759253084361454,0.042278694014079576,8.881784197001252e-16,0.0,0.0,2.0
9.76325441813938,0.04227869401405737,0.0,0.0,0.0,2.0
9.767255751917306,0.04227869401403517,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.771257085695233,0.04227869401401296,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.775258419473158,0.04227869401398632,8.881784197001252e-16,0.0,0.0,2.0
9.779259753251084,0.04227869401396145,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.78326108702901,0.04227869401393303,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.787262420806936,0.04227869401390638,-8.881784197001252e-16,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.791263754584863,0.042278694013879736,8.881784197001252e-16,8.881784197001252e-16,-8.881784197001252e-16,2.0
9.795265088362788,0.04227869401385487,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.799266422140715,0.04227869401383,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.80326775591864,0.042278694013807794,0.0,0.0,0.0,2.0
9.807269089696566,0.04227869401378648,0.0,0.0,0.0,2.0
9.811270423474491,0.04227869401377049,0.0,0.0,0.0,2.0
9.815271757252418,0.04227869401375717,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.819273091030343,0.04227869401375006,8.881784197001252e-16,0.0,0.0,2.0
9.82327442480827,0.04227869401374651,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
9.827275758586197,0.04227869401375095,0.0,0.0,0.0,2.0
9.831277092364122,0.04227869401375983,0.0,-8.881784197001252e-16,-1.7763568394002505e-15,2.0
9.835278426142049,0.04227869401377671,0.0,0.0,0.0,2.0
9.839279759919974,0.0422786940137998,0.0,0.0,0.0,2.0
9.8432810936979,0.04227869401382378,8.881784197001252e-16,0.0,0.0,2.0
9.847282427475825,0.04227869401384954,0.0,0.0,0.0,2.0
9.851283761253752,0.04227869401387885,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.855285095031677,0.042278694013909046,0.0,0.0,-8.881784197001252e-16,2.0
9.859286428809604,0.04227869401394191,0.0,0.0,0.0,2.0
9.863287762587529,0.04227869401397122,0.0,0.0,-8.881784197001252e-16,2.0
9.867289096365456,0.04227869401400497,8.881784197001252e-16,0.0,0.0,2.0
9.871290430143382,0.04227869401403517,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,2.0
9.875291763921307,0.04227869401406803,0.0,-8.881784197001252e-16,-8.881784197001252e-16,2.0
9.879293097699234,0.04227869401409734,-8.881784197001252e-16,-8.881784197001252e-16,-8.881784197001252e-16,2.0
