q,T,k,eta_lyapunov,eta_quadrature,eta_from_h_squared,disc_lyap_vs_quad,disc_lyap_vs_hsq
-1,1.0,5,0.003204524673749083,0.0032045246737491375,0.0032045246302132933,5.4643789493269423e-17,4.353578955673676e-11
-1,1.0,6,0.009694035187646985,0.00969403518764901,0.009694035137703064,2.024422296464934e-15,4.994392052704022e-11
-1,1.0,7,0.0009576635222243486,0.0009576635222245494,0.0009576635058743259,2.0079424234431542e-16,1.6350022681230203e-11
-1,1.0,8,0.0009576635222243499,0.0009576635222245494,0.0009576635058743259,1.9949319973733282e-16,1.635002398227281e-11
-1,3.0,1,0.029931266835048546,0.029931266835127444,0.029931313157574885,7.889869313437714e-14,4.632252633904321e-08
-1,3.0,2,0.029931266835048556,0.029931266835127444,0.029931313157574885,7.888828479352128e-14,4.632252632863487e-08
-1,3.0,3,0.014219149355925791,0.014219149355812198,0.014219195683068562,1.1359316265391328e-13,4.6327142771279695e-08
-1,3.0,4,0.0061747487688927315,0.006174748768920881,0.0061747487639222986,2.814935784467565e-14,4.970432919415568e-12
-1,3.0,5,0.004296649827999986,0.00429664982800351,0.004296649822792297,3.5240907414468836e-15,5.20768931450144e-12
-1,3.0,6,0.010582308581759318,0.010582308581922975,0.010582308577758708,1.6365728217060393e-13,4.000610606680333e-12
-1,3.0,7,0.001923480265260219,0.0019234802652754698,0.0019234802595073492,1.52508214390501e-14,5.752869751754486e-12
-1,3.0,8,0.0019234802652602196,0.0019234802652754698,0.0019234802595073492,1.5250170917746608e-14,5.752870402275789e-12
0,0.1,1,0.008832012473335014,0.008832012473335015,0.008832012496541114,1.734723475976807e-18,2.3206100235872995e-11
0,0.1,2,0.008832012473335015,0.008832012473335015,0.008832012496541114,0.0,2.320609850114952e-11
0,0.1,3,0.008832012473335017,0.008832012473335015,0.008832012496541114,1.734723475976807e-18,2.3206096766426043e-11
0,0.1,4,0.00017031419577322095,0.00017031419577322282,0.00017031420001201557,1.870248747537495e-18,4.238794618039929e-12
0,0.1,5,5.235864988671489e-05,5.235864988671559e-05,5.2358651622540136e-05,7.047314121155779e-19,1.7358252490007504e-12
0,0.1,6,4.2380946932829834e-07,4.23809469328011e-07,4.238095262023169e-07,2.873559273560214e-19,5.687401856130229e-14
0,0.1,7,4.238094693284911e-07,4.23809469328011e-07,4.238095262023169e-07,4.801088624155781e-19,5.687382580836723e-14
0,0.1,8,4.238094693286838e-07,4.23809469328011e-07,4.238095262023169e-07,6.728088579159314e-19,5.687363310837173e-14
0,0.5,1,0.022833592563643375,0.022833592563643406,0.02283359373108927,3.122502256758253e-17,1.1674458968990997e-09
0,0.5,2,0.022833592563643375,0.022833592563643406,0.02283359373108927,3.122502256758253e-17,1.1674458968990997e-09
0,0.5,3,0.022833592563643368,0.022833592563643406,0.02283359373108927,3.8163916471489756e-17,1.1674459038379936e-09
0,0.5,4,0.0028613477141050145,0.00286134771410508,0.0028613476898494395,6.548581121812447e-17,2.425557497909292e-11
0,0.5,5,0.001454033838710136,0.001454033838710154,0.0014540338323006852,1.7997756063259374e-17,6.4094508780282444e-12
0,0.5,6,0.00016579269113294558,0.00016579269113294658,0.00016579269576172303,1.0028870095490916e-18,4.628777450308569e-12
0,0.5,7,0.0001657926911329458,0.00016579269113294658,0.00016579269576172303,7.860465750519907e-19,4.628777233468134e-12
0,0.5,8,0.00016579269113294628,0.00016579269113294664,0.00016579269576172303,3.5236570605778894e-19,4.628776745577157e-12
0,1.0,1,0.02684758326730719,0.02684758326730782,0.02684758832500993,6.279698983036042e-16,5.0577027392584295e-09
0,1.0,2,0.026847583267307195,0.026847583267307816,0.02684758832500993,6.210310043996969e-16,5.0577027357889826e-09
0,1.0,3,0.026847583267307185,0.026847583267307816,0.026847588325009934,6.314393452555578e-16,5.05770274966677e-09
0,1.0,4,0.004720159840492554,0.004720159840493771,0.004720159799984734,1.2169085183977302e-15,4.0507820188440125e-11
0,1.0,5,0.002972162027884059,0.002972162027884274,0.002972161994653769,2.1467203015212988e-16,3.3230290047425726e-11
0,1.0,6,0.0007142246110927717,0.0007142246110927761,0.0007142246035407216,4.336808689942018e-18,7.552050131087729e-12
0,1.0,7,0.0007142246110927719,0.0007142246110927761,0.0007142246035407216,4.119968255444917e-18,7.552050347928163e-12
0,1.0,8,0.0007142246110927725,0.0007142246110927761,0.0007142246035407216,3.577867169202165e-18,7.55205089002925e-12
0,3.0,1,0.028285614305711568,0.028285614305763714,0.028285660626048335,5.214578768786282e-14,4.632033676760239e-08
0,3.0,2,0.02828561430571157,0.028285614305763714,0.028285660626048335,5.214231824091087e-14,4.632033676413294e-08
0,3.0,3,0.02828561430571156,0.028285614305763714,0.028285660626048335,5.215272658176673e-14,4.632033677454128e-08
0,3.0,4,0.005763905666252345,0.00576390566635261,0.005763905659713334,1.0026528218798347e-13,6.539010652395483e-12
