q,g1,g2,g3,g4,g5,g6,g7,g8
-0.07499999999999996,0.19812206572769955,0.19812206572769955,0.1921818876799225,0.11267605633802813,0.09859154929577463,0.07920237397036038,0.0647887323943662,0.0647887323943662
-0.04999999999999982,0.19812206572769955,0.19812206572769955,0.19439663751419578,0.11267605633802817,0.09859154929577466,0.07450856427007596,0.06478873239436621,0.06478873239436621
-0.02499999999999991,0.19812206572769955,0.19812206572769955,0.1963796101614895,0.11267605633802817,0.09859154929577466,0.0696982226484034,0.06478873239436621,0.06478873239436618
0.0,0.19812206572769955,0.19812206572769955,0.19812206572769958,0.11267605633802819,0.09859154929577466,0.06478873239436622,0.06478873239436621,0.06478873239436621
0.02499999999999991,0.19812206572769955,0.19812206572769955,0.19961702339793497,0.11267605633802817,0.09859154929577468,0.05979830680941785,0.06478873239436621,0.06478873239436621
0.050000000000000266,0.19812206572769955,0.19812206572769955,0.20085935396251153,0.11267605633802817,0.09859154929577466,0.05474576469624056,0.0647887323943662,0.0647887323943662
0.07500000000000018,0.19812206572769955,0.19812206572769958,0.20184583781954207,0.11267605633802819,0.09859154929577468,0.049650294557900515,0.06478873239436621,0.06478873239436621
0.10000000000000009,0.19812206572769955,0.19812206572769955,0.20257518709617445,0.11267605633802819,0.09859154929577466,0.044531213684748744,0.06478873239436621,0.06478873239436621
0.125,0.19812206572769955,0.19812206572769955,0.20304803178042619,0.11267605633802819,0.09859154929577466,0.03940772842181294,0.06478873239436621,0.06478873239436621
0.1499999999999999,0.19812206572769955,0.19812206572769958,0.20326687098958873,0.11267605633802817,0.09859154929577466,0.03429870174592791,0.06478873239436621,0.06478873239436621
0.17500000000000027,0.19812206572769955,0.19812206572769955,0.20323599165236014,0.11267605633802813,0.09859154929577466,0.02922243385520312,0.0647887323943662,0.0647887323943662
0.20000000000000018,0.19812206572769955,0.19812206572769955,0.2029613578909354,0.11267605633802817,0.09859154929577468,0.024196460816179103,0.06478873239436622,0.06478873239436621
0.2250000000000001,0.19812206572769955,0.19812206572769955,0.20245047520897747,0.11267605633802821,0.09859154929577466,0.019237375472346257,0.06478873239436621,0.06478873239436621
0.25,0.19812206572769955,0.19812206572769955,0.20171223418945045,0.11267605633802817,0.09859154929577468,0.014360673847003597,0.06478873239436621,0.06478873239436621
0.2749999999999999,0.19812206572769955,0.19812206572769955,0.20075673876690325,0.11267605633802817,0.09859154929577466,0.009580629233467839,0.06478873239436621,0.06478873239436621
0.30000000000000027,0.19812206572769955,0.19812206572769955,0.19959512426239395,0.11267605633802821,0.0985915492957747,0.004910195115647983,0.06478873239436622,0.06478873239436622
0.3250000000000002,0.19812206572769955,0.19812206572769955,0.19823937027099478,0.11267605633802817,0.0985915492957747,0.00036093705629289437,0.06478873239436622,0.06478873239436622
0.3500000000000001,0.19812206572769955,0.19812206572769955,0.1967021131988666,0.11267605633802817,0.09859154929577468,-0.004057007225237112,0.06478873239436622,0.06478873239436621
0.375,0.19812206572769955,0.19812206572769955,0.19499646279503505,0.11267605633802817,0.09859154929577466,-0.008334941153771975,0.0647887323943662,0.0647887323943662
0.40000000000000036,0.19812206572769955,0.19812206572769955,0.19313582645297067,0.11267605633802817,0.09859154929577466,-0.012465598186822142,0.06478873239436622,0.06478873239436622
0.42500000000000027,0.19812206572769955,0.19812206572769955,0.19113374441105785,0.11267605633802817,0.09859154929577466,-0.016443108980333423,0.0647887323943662,0.0647887323943662
