t,phase,Kdelta,families,m_4,m_5,m_6,m_7,m_8
4.6440677966101696,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.711864406779661,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.779661016949152,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.847457627118644,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.915254237288135,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
4.983050847457627,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.0508474576271185,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.118644067796611,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.186440677966102,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.254237288135593,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.322033898305085,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.389830508474576,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.4576271186440675,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.525423728813559,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.593220338983051,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.661016949152542,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.728813559322034,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.796610169491526,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.864406779661017,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
5.932203389830509,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
6.0,release,2,"[[5, 6]]",0.0,1.0,1.0,0.0,0.0
