k,q,T,lam,D,D_T,D_max,ratio_DT_over_Dmax
4,-1.0,0.1,31622.776601683792,69.295310792851,619.4260068397533,768.9793551871398,0.8055170826907427
4,-1.0,0.1,56234.13251903491,69.09639180952416,615.9695823212377,763.7533595218124,0.8065032705151013
4,-1.0,0.1,100000.0,68.9470639985291,613.4522007795731,759.988691627196,0.8071859588675239
4,-1.0,0.1,177827.94100389228,68.83501787764364,611.6059205552713,757.2746439400547,0.8076408281322114
4,-1.0,0.1,316227.7660168379,68.75096763445936,610.2447100993417,755.2958023998947,0.8079545896592245
4,-1.0,0.1,562341.3251903491,68.68792727877735,609.2374441144651,753.878035921563,0.8081379415301775
4,-1.0,0.1,1000000.0,68.64064863910365,608.4875848424527,752.8325452838011,0.8082641865769319
4,-1.0,1.0,0.0,11.186426301719456,7.5612449316808235,18.87680097501669,0.40055753841384867
4,-1.0,1.0,0.0001,11.186423515158133,7.561266675562481,18.87680650369055,0.4005585729813038
4,-1.0,1.0,0.00017782794100389227,11.18642134646967,7.561283598242748,18.876810807864334,0.40055937812824904
4,-1.0,1.0,0.00031622776601683794,11.186417490010758,7.561313691200379,18.87681845909517,0.400560809947145
4,-1.0,1.0,0.0005623413251903491,11.186410632386853,7.561367203950677,18.87683206343629,0.400563356104479
4,-1.0,1.0,0.001,11.186398438366604,7.561462361610746,18.8768562566701,0.4005678836982678
4,-1.0,1.0,0.0017782794100389228,11.186376756366553,7.56163156915265,18.876899258998098,0.40057593492470583
4,-1.0,1.0,0.0031622776601683794,11.186338207221109,7.5619324378288155,18.87697568839122,0.4005902514606288
4,-1.0,1.0,0.005623413251903491,11.186269679804795,7.562467372784914,18.877111467282898,0.4006157078582652
4,-1.0,1.0,0.01,11.18614789391448,7.563418340698157,18.877352489615575,0.4006609690028721
4,-1.0,1.0,0.01778279410038923,11.185931561448596,7.565108492384268,18.87777972827711,0.40074143258767125
4,-1.0,1.0,0.03162277660168379,11.18554760923076,7.568111101939008,18.87853518716952,0.4008844450539017
4,-1.0,1.0,0.05623413251903491,11.184867188648328,7.5734412682863015,18.880091448959774,0.40113371742717757
4,-1.0,1.0,0.1,11.183664600390598,7.582890478473978,18.88291649127987,0.4015741149930815
4,-1.0,1.0,0.1778279410038923,11.181549133711401,7.599601856185377,18.887855238764615,0.4023538808465814
4,-1.0,1.0,0.31622776601683794,11.177858571401451,7.629032668291086,18.89637525285055,0.4037299517080787
4,-1.0,1.0,0.5623413251903491,11.171512504587607,7.680484722044495,18.91114625795951,0.40613533507054644
4,-1.0,1.0,1.0,11.160867164951815,7.769304573685101,18.937631291867653,0.4102574632457575
4,-1.0,1.0,1.7782794100389228,11.143733445769042,7.919402378899615,18.983850847987203,0.4171652233424118
4,-1.0,1.0,3.1622776601683795,11.11792165924563,8.164460595271072,19.06220588157389,0.42830618061696035
4,-1.0,1.0,5.623413251903491,11.082697233586767,8.54406124530595,19.189362461561284,0.4452498754151309
4,-1.0,1.0,10.0,11.040651401867416,9.090369088027954,19.371368262408595,0.4692683017992285
4,-1.0,1.0,17.78279410038923,10.997813294927578,9.807602236358663,19.59232395332373,0.5005839154009526
4,-1.0,1.0,31.622776601683793,10.960518096116946,10.659138265248602,19.805621536978016,0.5381875163749593
4,-1.0,1.0,56.23413251903491,10.931873697011088,11.576869760561513,19.96029680564881,0.5799948704813463
4,-1.0,1.0,100.0,10.911463944221937,12.486517844392903,20.031974325919343,0.6233293654054166
4,-1.0,1.0,177.82794100389228,10.897315984623752,13.329447463510872,20.03409924191623,0.6653379971095686
4,-1.0,1.0,316.22776601683796,10.887476290756368,14.070994511113089,19.999283873336218,0.7035749179935916
4,-1.0,1.0,562.341325190349,10.880520697331933,14.698161631006158,19.957772302661645,0.7364630384647667
4,-1.0,1.0,1000.0,10.875515803177672,15.213084687315273,19.922983298413598,0.7635947116678375
4,-1.0,1.0,1778.2794100389228,10.871862335463469,15.626509434850416,19.896510417787823,0.7853894530610779
4,-1.0,1.0,3162.2776601683795,10.869168147546896,15.952897991829374,19.876782501503,0.8025895534462422
4,-1.0,1.0,5623.413251903491,10.867168137979847,16.207319951601814,19.861918149218887,0.8159997352641997
4,-1.0,1.0,10000.0,10.865677299448697,16.403751876591798,19.851056126832745,0.8263415191506505
4,-1.0,1.0,17782.794100389227,10.864563228761948,16.554319777238934,19.843115405937663,0.8342601168506725
4,-1.0,1.0,31622.776601683792,10.863729478595829,16.669106429248483,19.837059063438453,0.8403012954662821
4,-1.0,1.0,56234.13251903491,10.863104977446175,16.75625506555279,19.832630368776876,0.8448831422751004
4,-1.0,1.0,100000.0,10.862636976565943,16.82221830199194,19.829301795873103,0.8483515191388633
4,-1.0,1.0,177827.94100389228,10.862286156637369,16.872029390350153,19.82671564857293,0.8509744977133696
4,-1.0,1.0,316227.7660168379,10.862023133982794,16.909592135315933,19.824864909726095,0.8529486688718909
4,-1.0,1.0,562341.3251903491,10.86182591742355,16.93786222306367,19.82345099902383,0.8544355987208153
4,-1.0,1.0,1000000.0,10.861678034353615,16.959129521366567,19.822398710660316,0.8555538494060304
4,-1.0,3.0,0.0,10.554221471707681,5.65104474495354,13.703470274687257,0.41238055993685213
