S,size,q,T,lam,E,D,y_T
"(4,)",1,-1,1,0.03162277660168379,196.73105692328804,11.18554760923076,1.0
"(4,)",1,-1,1,0.05623413251903491,196.73111669060188,11.184867188648328,1.0
"(4,)",1,-1,1,0.1,196.73130450720595,11.183664600390598,1.0
"(4,)",1,-1,1,0.1778279410038923,196.7318918626069,11.181549133711401,1.0
"(4,)",1,-1,1,0.31622776601683794,196.73371312649058,11.177858571401451,0.9999999999999999
"(4,)",1,-1,1,0.5623413251903491,196.73927745430547,11.171512504587607,0.9999999999999998
"(4,)",1,-1,1,1.0,196.75585166657035,11.160867164951815,1.0
"(4,)",1,-1,1,1.7782794100389228,196.80317501695228,11.143733445769042,1.0
"(4,)",1,-1,1,3.1622776601683795,196.92947156456262,11.11792165924563,1.0
"(4,)",1,-1,1,5.623413251903491,197.2342743978886,11.082697233586767,1.0
"(4,)",1,-1,1,10.0,197.87666087748823,11.040651401867416,1.0
"(4,)",1,-1,1,17.78279410038923,199.03141159120074,10.997813294927578,0.9999999999999999
"(4,)",1,-1,1,31.622776601683793,200.80665226391454,10.960518096116946,1.0
"(4,)",1,-1,1,56.23413251903491,203.2195842337148,10.931873697011088,0.9999999999999998
"(4,)",1,-1,1,100.0,206.26993130132624,10.911463944221937,0.9999999999999999
"(4,)",1,-1,1,177.82794100389228,210.02870521103944,10.897315984623752,0.9999999999999999
"(4,)",1,-1,1,316.22776601683796,214.68030552726057,10.887476290756368,1.0
"(4,)",1,-1,1,562.341325190349,220.53276061283992,10.880520697331933,1.0
"(4,)",1,-1,1,1000.0,228.0272026546974,10.875515803177672,1.0
"(4,)",1,-1,1,1778.2794100389228,237.7614298361617,10.871862335463469,1.0
"(4,)",1,-1,1,3162.2776601683795,250.53149119521058,10.869168147546896,1.0
"(4,)",1,-1,1,5623.413251903491,267.3932966607805,10.867168137979847,0.9999999999999998
"(4,)",1,-1,1,10000.0,289.7479426856254,10.865677299448697,0.9999999999999998
"(4,)",1,-1,1,17782.794100389227,319.4569844240363,10.864563228761948,0.9999999999999999
"(4,)",1,-1,1,31622.776601683792,358.9967615610136,10.863729478595829,1.0
"(4,)",1,-1,1,56234.13251903491,411.66442261889716,10.863104977446175,0.9999999999999998
"(4,)",1,-1,1,100000.0,481.8525297030643,10.862636976565943,1.0
"(4,)",1,-1,1,177827.94100389228,575.4152639376867,10.862286156637369,1.0000000000000002
"(4,)",1,-1,1,316227.7660168379,700.1561821234712,10.862023133982794,1.0
"(4,)",1,-1,1,562341.3251903491,866.4787137448762,10.86182591742355,1.0
"(4,)",1,-1,1,1000000.0,1088.2515223282999,10.861678034353615,0.9999999999999999
"(4,)",1,-1,3,0.0,161.94990880201115,10.554221471707681,1.0
"(4,)",1,-1,3,0.0001,161.94990880291655,10.554212417972906,1.0
"(4,)",1,-1,3,0.00017782794100389227,161.94990880487407,10.55420537184687,1.0
"(4,)",1,-1,3,0.00031622776601683794,161.9499088110645,10.554192842317443,0.9999999999999999
"(4,)",1,-1,3,0.0005623413251903491,161.94990883063844,10.554170562740548,0.9999999999999999
"(4,)",1,-1,3,0.001,161.94990889252986,10.554130947940731,1.0000000000000002
"(4,)",1,-1,3,0.0017782794100389228,161.94990908820708,10.55406051602594,0.9999999999999999
"(4,)",1,-1,3,0.0031622776601683794,161.94990970676366,10.553935313502857,1.0
"(4,)",1,-1,3,0.005623413251903491,161.9499116615275,10.553712810950339,1.0
"(4,)",1,-1,3,0.01,161.94991783581796,10.55331758933023,1.0
"(4,)",1,-1,3,0.01778279410038923,161.94993732016061,10.552616194860969,1.0
"(4,)",1,-1,3,0.03162277660168379,161.94999870839655,10.551373391466365,1.0
"(4,)",1,-1,3,0.05623413251903491,161.95019156992518,10.549177378177186,1.0
"(4,)",1,-1,3,0.1,161.9507944311886,10.545316074271108,1.0
"(4,)",1,-1,3,0.1778279410038923,161.9526622823556,10.538585033728394,0.9999999999999999
"(4,)",1,-1,3,0.31622776601683794,161.95836084488752,10.527026749640372,1.0
"(4,)",1,-1,3,0.5623413251903491,161.97529211725433,10.507685673311155,1.0
"(4,)",1,-1,3,1.0,162.02341877555148,10.476691718689656,1.0
"(4,)",1,-1,3,1.7782794100389228,162.15084082753575,10.430360086458718,1.0
"(4,)",1,-1,3,3.1622776601683795,162.454034929485,10.367998386255108,0.9999999999999998
"(4,)",1,-1,3,5.623413251903491,163.07703092824687,10.295372850776326,0.9999999999999998
"(4,)",1,-1,3,10.0,164.14682867718412,10.224597563271876,1.0
"(4,)",1,-1,3,17.78279410038923,165.6621728721906,10.167698085680843,1.0
"(4,)",1,-1,3,31.622776601683793,167.4541441088801,10.129552053940545,1.0
"(4,)",1,-1,3,56.23413251903491,169.27989227583498,10.107559622931493,1.0
"(4,)",1,-1,3,100.0,170.9470349484274,10.09621800987209,1.0
"(4,)",1,-1,3,177.82794100389228,172.3626905068622,10.090787653019005,1.0
"(4,)",1,-1,3,316.22776601683796,173.51320716288174,10.08830205740734,1.0000000000000002
"(4,)",1,-1,3,562.341325190349,174.42618002177448,10.087192043587624,1.0
"(4,)",1,-1,3,1000.0,175.14317699027137,10.086701713113342,1.0
"(4,)",1,-1,3,1778.2794100389228,175.70619522356847,10.086485243051026,0.9999999999999999
"(4,)",1,-1,3,3162.2776601683795,176.15268867741207,10.086388776886166,1.0
"(4,)",1,-1,3,5623.413251903491,176.51464700367004,10.086344860989167,1.0
"(4,)",1,-1,3,10000.0,176.81929117913572,10.086324121011824,0.9999999999999999
"(4,)",1,-1,3,17782.794100389227,177.09033210564056,10.086313775993574,0.9999999999999998
"(4,)",1,-1,3,31622.776601683792,177.34939896205515,10.086308235794961,1.0
"(4,)",1,-1,3,56234.13251903491,177.61753618574005,10.08630502329361,1.0
"(4,)",1,-1,3,100000.0,177.91677135905198,10.086303013678142,1.0
"(4,)",1,-1,3,177827.94100389228,178.27183634877244,10.086301675740804,1.0
"(4,)",1,-1,3,316227.7660168379,178.7121089199539,10.086300743838663,1.0
"(4,)",1,-1,3,562341.3251903491,179.2739382303529,10.086300075115975,1.0
"(4,)",1,-1,3,1000000.0,180.00267561697387,10.086299585754352,1.0
"(4,)",1,0,0.1,0.0,5871.5011709683395,46.05424098168828,1.0
"(4,)",1,0,0.1,0.0001,5871.501170968479,46.05423967811184,1.0
