k,q,T,lam,E,D,Dbar,D_T,D_max,y_T,resid_norm,m_T_1,m_T_2,m_T_3,m_T_4,m_T_5,m_T_6,m_T_7,m_T_8
4,1,0.1,5623.413251903491,7169.698387012128,23.076634638576735,230.76634638576735,262.08636752542463,275.7095327731841,1.0,8.771325781416923,0.7744657334204025,0.7744657334204025,1.451068533159195,9.29563773837337,0.0978030405050508,0.27068919264733193,0.7199778074566832,0.719977807456683
4,1,0.1,10000.0,8944.630458928272,22.958349756973238,229.58349756973237,261.418373317587,271.6305980032742,1.0,8.760616764574015,0.7747803590205938,0.7747803590205938,1.4504392819588128,9.284993387111673,0.09877293991800808,0.27313133888849256,0.7198609073036396,0.7198609073036396
4,1,0.1,17782.794100389227,11329.993258147293,22.86893505595223,228.6893505595223,261.11843513041066,268.7806369629323,0.9999999999999998,8.755908111238101,0.7750285592364894,0.7750285592364894,1.449942881527021,9.280353691347155,0.0995346128873449,0.2750441579493507,0.7197723514267291,0.7197723514267291
4,1,0.1,31622.776601683792,14523.90928154108,22.8016013762234,228.01601376223397,261.0055710620447,266.7558876772957,0.9999999999999998,8.75423297707284,0.77522170282731,0.77522170282731,1.4495565943453799,9.27874170678024,0.1001255770417385,0.2765255447170068,0.7197053533906094,0.7197053533906094
4,1,0.1,56234.13251903491,18792.338839138374,22.750994981653683,227.50994981653682,260.98365253003635,265.2991816266043,0.9999999999999999,8.754016367217565,0.7753705383454763,0.7753705383454763,1.4492589233090474,9.27857885375628,0.10058008313394237,0.27766339579280147,0.7196547253103356,0.7196547253103357
4,1,0.1,100000.0,24491.082062872036,22.712999528225797,227.12999528225797,261.0023412632606,264.2289231869354,0.9999999999999999,8.754436287048186,0.7754844188116243,0.7754844188116243,1.4490311623767511,9.279042667204417,0.10092739190768867,0.27853208200277346,0.719616513585144,0.719616513585144
4,1,0.1,177827.94100389228,32095.35927048219,22.68448809463051,226.8448809463051,261.036128178964,263.44614758991395,0.9999999999999998,8.755078979433206,0.7755711021729517,0.7755711021729517,1.4488577956540964,9.279720287302336,0.10119152178490047,0.27919228765714227,0.7195877067210433,0.7195877067210433
4,1,0.1,316227.7660168379,42239.39884713568,22.663099742085954,226.63099742085953,261.0725710633933,262.88640610398005,1.0,8.755745029325238,0.7756368317684644,0.7756368317684643,1.4487263364630714,9.28041365782985,0.10139168177496037,0.27969235983467733,0.7195660127785989,0.7195660127785989
4,1,0.1,562341.3251903491,55769.29906015882,22.647057488032942,226.47057488032942,261.10633591919463,262.4736090377274,1.0,8.756351158686327,0.77568653209574,0.77568653209574,1.44862693580852,9.281040924507238,0.1015429646688383,0.2800701886919812,0.7195496900166348,0.7195496900166349
4,1,0.1,1000000.0,73813.50400385777,22.635026097810783,226.35026097810783,261.1350467168637,262.147707618378,0.9999999999999998,8.756861883049938,0.7757240331607789,0.7757240331607788,1.448551933678442,9.281567845387839,0.10165707946049116,0.2803551179425827,0.7195374178789273,0.7195374178789273
4,1,1,0.0,154.6156239746876,8.034451015815065,8.034451015815065,8.7188117627574,16.84247404739467,1.0,1.9640500572827901,0.9366885128620928,0.9366885128620929,1.1266229742758145,2.2886250319443637,0.5087136522473586,0.8821156854297307,0.859513075872699,0.859513075872699
4,1,1,0.0001,154.61562397523593,8.034445532479538,8.034445532479538,8.718845645505713,16.84250088448163,0.9999999999999999,1.9640525734507597,0.936688324398125,0.936688324398125,1.1266233512037498,2.288628178378544,0.5087131786461431,0.8821151453971315,0.8595128540329916,0.8595128540329916
4,1,1,0.00017782794100389227,154.61562397642172,8.034441264984379,8.034441264984379,8.718872015572586,16.84252177092426,1.0,1.9640545317176423,0.9366881777223041,0.9366881777223042,1.126623644555392,2.2886306271621732,0.5087128100566922,0.8821147251055822,0.8595126813820456,0.8595126813820456
4,1,1,0.00031622776601683794,154.615623980171,8.034433676341603,8.034433676341603,8.718918908524639,16.8425589121935,0.9999999999999999,1.9640580140304793,0.9366879168956156,0.9366879168956157,1.1266241662087684,2.2886349817367435,0.508712154611661,0.8821139777199833,0.8595123743654524,0.8595123743654521
4,1,1,0.0005623413251903491,154.6156239920268,8.034420182107699,8.034420182107699,8.719002296046872,16.842624957653538,1.0,1.9640642064518476,0.9366874530852334,0.9366874530852334,1.1266250938295335,2.288642725238616,0.508710989078877,0.8821126486918418,0.8595118284200652,0.8595118284200652
4,1,1,0.001,154.61562402951532,8.034396187149182,8.034396187149182,8.719150578411758,16.842742398311266,0.9999999999999999,1.964075217978888,0.9366866283398201,0.9366866283398201,1.1266267433203598,2.288656494879229,0.5087089165359092,0.882110285410539,0.8595108576268987,0.8595108576268987
4,1,1,0.0017782794100389228,154.6156241480497,8.034353522340425,8.034353522340425,8.719414253401071,16.842951219668887,1.0,1.9640947985123458,0.9366851618354793,0.9366851618354792,1.1266296763290418,2.2886809796635834,0.5087052312915684,0.8821060831588239,0.8595091314443664,0.8595091314443664
4,1,1,0.0031622776601683794,154.61562452280882,8.034277667981515,8.034277667981515,8.719883101724268,16.843322496171684,1.0,1.9641296148888059,0.9366825543712901,0.9366825543712901,1.1266348912574198,2.2887245157593856,0.5086986788969581,0.88209861140159,0.859506062312099,0.859506062312099
4,1,1,0.005623413251903491,154.61562570745562,8.034142827022123,8.034142827022123,8.720716720222969,16.843982520194675,1.0,1.964191517754992,0.9366779188051803,0.9366779188051803,1.1266441623896397,2.288801920268809,0.5086870300682098,0.8820853277555017,0.859500606126134,0.859500606126134
4,1,1,0.01,154.61562945113877,8.033903197854967,8.033903197854967,8.722198732284125,16.845155565738406,0.9999999999999999,1.9643015655401967,0.9366696793725782,0.9366696793725782,1.1266606412548434,2.288939520231199,0.5086663251815208,0.8820617159167146,0.8594909085238497,0.8594909085238497
4,1,1,0.01778279410038923,154.6156412756802,8.033477562049065,8.033477562049065,8.724832917077894,16.847239478546864,1.0,1.9644971575883734,0.9366550396762192,0.9366550396762192,1.126689920647562,2.28918406328989,0.5086295376506506,0.8820197596783347,0.8594736793367995,0.8594736793367996
4,1,1,0.03162277660168379,154.61567858950886,8.03272221414757,8.03272221414757,8.729513296397434,16.85093866114669,1.0,1.9648446475571633,0.9366290450810036,0.9366290450810036,1.1267419098379932,2.2896184615372697,0.5085642186956034,0.8819452514314788,0.859443091079256,0.859443091079256
4,1,1,0.05623413251903491,154.61579614585474,8.031383879797474,8.031383879797474,8.737823897444668,16.85749604992715,1.0,1.965461549275827,0.936582941945795,0.936582941945795,1.1268341161084103,2.2903894684614587,0.5084483770749345,0.8818130754225312,0.859388854321011,0.859388854321011
