seed,t,phase,n_live_hypotheses,map_hid,map_prob,map_size,map_age,map_status,margin_top1_top2,entropy,n_exact_duplicate_groups,n_near_duplicate_pairs,coalesced_entropy,coalesced_margin,coalesced_map_matches_map,C,D,Q,n_components,size_frac,R_retain_step,R_purity_step,R_F,D_deform,bulk_speed,consistency_vs_vizbundle_ok
500,11,uncontrolled,2,1,0.6501601897796762,49,10,active,0.30032037955935237,0.6473474188789675,0,0,0.6473474188789675,0.30032037955935237,True,0.30338915810854095,0.0,0.7542695154479999,15,0.1225,0.98,1.0,0.8002472773904414,0.12599786665694082,0.07931767293194868,True
500,12,uncontrolled,3,3,0.47212236572111793,31,11,active,0.12228255550079414,1.029016046985504,0,0,1.029016046985504,0.12228255550079414,True,0.2974046599126738,1.0,0.7154226614179536,10,0.0775,0.6326530612244898,1.0,0.6312781830309149,0.23257836850005786,0.6164839007627069,True
500,13,uncontrolled,3,3,0.47212236572111793,31,12,active,0.12228255550079414,1.029016046985504,0,0,1.029016046985504,0.12228255550079414,True,0.0967741935483871,0.0,1.0,8,0.0775,0.967741935483871,0.967741935483871,0.8164402995405433,0.11578380689851937,0.21410229180822773,True
500,14,uncontrolled,5,3,0.47212236572111793,41,13,individuation_loss,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.12195121951219512,1.0,0.7229307735911216,17,0.1025,1.0,0.7560975609756098,0.7250081740798819,0.1734563762705567,0.35678576383459887,True
500,15,uncontrolled,5,3,0.47212236572111793,42,14,individuation_loss,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.047619047619047616,1.0,0.7818171899233312,13,0.105,0.975609756097561,0.9523809523809523,0.8089586919149894,0.12050297461583079,0.29056954900174864,True
500,16,uncontrolled,5,3,0.47212236572111793,40,15,active,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.1118033988749895,1.0,0.5107365436305028,12,0.1,0.7380952380952381,0.775,0.6525912711534639,0.21913472878275836,0.15183085330808732,True
500,17,uncontrolled,5,3,0.47212236572111793,42,16,individuation_loss,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.20203050891044214,1.0,0.4550062901693885,15,0.105,0.975,0.9285714285714286,0.726394821699231,0.17258172164978136,0.3414307904034126,True
500,18,uncontrolled,5,3,0.47212236572111793,43,17,individuation_loss,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.14145959372786557,1.0,0.3123621407614518,19,0.1075,0.9523809523809523,0.9302325581395349,0.7456462637785979,0.16043850477452953,0.16800503865435867,True
500,19,uncontrolled,5,3,0.47212236572111793,40,18,active,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.07905694150420949,1.0,0.4106416999482234,15,0.1,0.9302325581395349,1.0,0.7702155575762346,0.14494095078213304,0.20041338555355526,True
500,20,uncontrolled,5,3,0.47212236572111793,38,19,active,0.12228255550079414,1.2243596541526238,1,0,1.041577386740575,0.18016647514160838,True,0.03721614637823934,1.0,0.5184267369665301,10,0.095,0.95,1.0,0.8103404264925768,0.11963141899051682,0.07267296890547167,True
