eps,L_exact,L_H,half_L_H,ratio_2L_over_LH
0.0012750512407130128,5.263493907392558e-08,1.0526987483397724e-07,5.263493741698862e-08,1.0000000314797934
0.0013354515629298987,5.7738007264163116e-08,1.1547600796236324e-07,5.773800398118162e-08,1.0000000568599756
0.0013987131026472386,6.33357357671116e-08,1.2667146252024604e-07,6.333573126012302e-08,1.0000000711602832
0.0014649713983072847,6.947605957208225e-08,1.38952109949102e-07,6.9476054974551e-08,1.000000066174328
0.0015343684089300133,7.621156061787815e-08,1.5242310814614265e-07,7.621155407307133e-08,1.0000000858768319
0.0016070528182616384,8.359990744111201e-08,1.6719980037565745e-07,8.359990018782872e-08,1.0000000867618655
0.0016831803533309566,9.170435877337013e-08,1.8340870110270677e-07,9.170435055135338e-08,1.00000008965787
0.001762914118095948,1.0059429822462107e-07,2.0118857714083462e-07,1.0059428857041731e-07,1.0000000959716888
0.0018464249428955426,1.1034582758639999e-07,2.2069163331362736e-07,1.1034581665681368e-07,1.000000099048488
0.0019338917504552321,1.2104242053112557e-07,2.420848127156189e-07,1.2104240635780945e-07,1.0000001170938067
0.0020255019392306666,1.3277562871394366e-07,2.655512226286159e-07,1.3277561131430795e-07,1.0000001310454196
0.00212145178491063,1.4564587047516397e-07,2.9129169821315735e-07,1.4564584910657868e-07,1.000000146716061
0.002221946860939524,1.5976328437972143e-07,3.1952651726025614e-07,1.5976325863012807e-07,1.0000001611734362
0.0023272024789604074,1.75248670686301e-07,3.5049728056562637e-07,1.7524864028281318e-07,1.0000001734877244
0.002437444150122222,1.922345234106615e-07,3.844689738877779e-07,1.9223448694388896e-07,1.0000001896994297
0.0025529080682395165,2.1086615920040686e-07,4.2173222898426334e-07,2.1086611449213167e-07,1.000000212022094
0.0026738416158399465,2.3130295545570334e-07,4.6260580289981576e-07,2.3130290144990788e-07,1.000000233485162
0.002800503894183631,2.537197127949753e-07,5.074392965196701e-07,2.5371964825983505e-07,1.0000002543561002
0.0029331662783900424,2.78308144530115e-07,5.566161354166249e-07,2.7830806770831244e-07,1.000000276031533
0.003072112998861759,3.052785118029533e-07,6.105568382275486e-07,3.052784191137743e-07,1.0000003036217866
