tau,P_tau_q0,P_tau_q0.5,P_tau_q1,P_tau_q2
0.10653755122033405,0.00024521433773205814,0.015150680410300765,0.05559505998573311,0.1554810214182698
0.11931845610862349,0.0003224269884425368,0.015564864477623175,0.0562617623882149,0.14848148075159884
0.13363263755426194,0.0004206539725970515,0.015809455682904705,0.05610368841189928,0.13772576871612507
0.14966403691522545,0.000544067348211108,0.015851532238008836,0.05499035653803741,0.12312266962330476
0.16761866229473066,0.0006969595627994707,0.015662069550019808,0.052820157106258314,0.10496247576405793
0.1877272358047474,0.0008833836493966629,0.015219810425109337,0.049542205123507266,0.08408493739909861
0.210248158411649,0.0011066328734683495,0.014515774669536796,0.0451814748385857,0.06200966015827181
0.2354708304631203,0.0013685530966247583,0.013557906007859444,0.039863471704056685,0.040908251248142236
0.26371937056605127,0.0016687107594881567,0.012374969271509606,0.033831493528937884,0.02325169976470587
0.2953567806040714,0.0020034826592674193,0.0110184222973162,0.027446249207928375,0.011049636426590403
0.33078961041639693,0.002365187531683688,0.00956078028434959,0.021156442526914176,0.004915448699464697
0.3704731820804635,0.002741435149215654,0.008089247426538826,0.015433480206545447,0.0035831159161796577
0.41491744093187805,0.0031149111321706613,0.006694386016508069,0.010676769055132596,0.004461848530728396
0.4646935085089845,0.0034638247962135438,0.005455356660593935,0.0071160797417268995,0.0050870505954199174
0.5204410216292721,0.0037632023027951433,0.004425296846581439,0.004752909571761776,0.004472395912261895
0.5828763519068686,0.0039870940037172176,0.0036216288373074335,0.003376884685626358,0.0032445128500189213
0.6528018113342948,0.004111584553809777,0.0030253230051142666,0.0026588542014804872,0.002424836935581709
0.7311159622228527,0.004118271063903833,0.002590066189902984,0.002276729665187105,0.0022017398607578897
0.818825163987357,0.003997656373790903,0.002258135577870135,0.002008549181255148,0.0020876807836733846
0.9170565051547245,0.0037517571203666833,0.0019769116292307487,0.0017522931931459595,0.00182623279842975
1.02707228677645,0.0033952181767142875,0.0017102144879412862,0.0014861109488215618,0.0015204194085773892
1.1502862433610115,0.002954406727394776,0.0014417892775382413,0.0012177650213924807,0.0012306269981632312
1.2882817097698436,0.0024643391636089973,0.0011720899698071108,0.0009585866647672248,0.0009513919853842978
1.442831967526741,0.0019638161018642464,0.0009116659817092199,0.0007196619272527016,0.0006988847478766047
1.6159230319966305,0.0014896742705863275,0.000674303017319744,0.0005119403547482193,0.0004849597624811963
1.8097791732555197,0.0010714224197734268,0.00047173641413245093,0.0003432657249113902,0.00031606277133278127
2.026891498602182,0.0007275334621104079,0.0003105772776104132,0.00021589702376623165,0.0001926382850179209
2.2700499640050604,0.0004642423911960236,0.00019144437774176737,0.00012670313106255549,0.00010918418097904947
2.5423792258407314,0.0002769558663988647,0.00010989017794393874,6.897672371231067e-05,5.718188755476916e-05
2.8473787936291024,0.0001535928615350457,5.8387266837378604e-05,3.4603122279541765e-05,2.7480254652267888e-05
3.1889679997395612,7.86728683870308e-05,2.8521505380574297e-05,1.5875948569998855e-05,1.2020883051633291e-05
