T_ramp,K,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location,refine_t,refine_L,refine_vs_coarse_diff
0.00208593,2,8.881784197001252e-16,0.0,0.026327503825164023,0.06805175628314157,0.026327503825164023,0.06805175628314157,32.62418023765973,post-ramp,nan,nan,nan
0.00208593,3,0.0,0.0,4.222749893756372e-05,0.10407915666833417,4.222749893756372e-05,0.10407915666833417,49.89580506936195,post-ramp,0.10564835010733366,4.219725358822757e-05,-3.0245349336155414e-08
0.00208593,4,0.0,0.0,1.6397165992110274e-05,0.10407915666833417,1.6397165992110274e-05,0.10407915666833417,49.89580506936195,post-ramp,nan,nan,nan
0.00235785,1,0.0422786940140325,0.0,0.0782867668419076,0.06805406875937968,0.0782867668419076,0.06805406875937968,28.862764280755638,post-ramp,nan,nan,nan
0.00235785,2,8.881784197001252e-16,0.0,0.026252302247583792,0.06805406875937968,0.026252302247583792,0.06805406875937968,28.862764280755638,post-ramp,nan,nan,nan
0.00235785,3,0.0,0.0,4.222792610963921e-05,0.10408269339669834,4.222792610963921e-05,0.10408269339669834,44.143051252920394,post-ramp,0.10565194015867935,4.2201471226910314e-05,-2.6454882728899065e-08
0.00235785,4,0.0,0.0,1.639737012393283e-05,0.10408269339669834,1.639737012393283e-05,0.10408269339669834,44.143051252920394,post-ramp,nan,nan,nan
0.00266522,1,0.0422786940140325,0.0,0.07818646687834097,0.06805668271135569,0.07818646687834097,0.06805668271135569,25.535108813289597,post-ramp,nan,nan,nan
0.00266522,2,8.881784197001252e-16,0.0,0.02616727307696909,0.06805668271135569,0.02616727307696909,0.06805668271135569,25.535108813289597,post-ramp,nan,nan,nan
0.00266522,3,0.0,0.0,4.2228005962208215e-05,0.10408669120560282,4.2228005962208215e-05,0.10408669120560282,39.05369583208997,post-ramp,0.10565599824224114,4.22058453342089e-05,-2.216062799931251e-08
0.00266522,4,0.0,0.0,1.6397444476901057e-05,0.10408669120560282,1.6397444476901057e-05,0.10408669120560282,39.05369583208997,post-ramp,nan,nan,nan
0.00301266,1,0.0422786940140325,0.0,0.07807303652835262,0.06805963742871436,0.07807303652835262,0.06805963742871436,22.59121089957525,post-ramp,nan,nan,nan
0.00301266,2,8.881784197001252e-16,0.0,0.026071138973677854,0.06805963742871436,0.026071138973677854,0.06805963742871436,22.59121089957525,post-ramp,nan,nan,nan
0.00301266,3,0.0,0.0,4.2227584960308207e-05,0.10409121018509254,4.2227584960308207e-05,0.10409121018509254,34.55126372876214,post-ramp,0.10566058535403702,4.221028852757769e-05,-1.7296432730518063e-08
0.00301266,4,0.0,0.0,1.6397330109718666e-05,0.10409121018509254,1.6397330109718666e-05,0.10409121018509254,34.55126372876214,post-ramp,nan,nan,nan
0.00340539,1,0.0422786940140325,0.0,0.07812021620483733,0.07206668185092546,0.07812021620483733,0.07206668185092546,21.16253405657662,post-ramp,nan,nan,nan
0.00340539,2,8.881784197001252e-16,0.0,0.02596244898912392,0.06806297730365182,0.02596244898912392,0.06806297730365182,19.986837720100144,post-ramp,nan,nan,nan
0.00340539,3,0.0,0.0,4.2226449184390447e-05,0.10409631822911455,4.2226449184390447e-05,0.10409631822911455,30.568104748388453,post-ramp,0.10566577041164582,4.221467104592591e-05,-1.177813846453546e-08
0.00340539,4,0.0,0.0,1.639694473443143e-05,0.10409631822911455,1.639694473443143e-05,0.10409631822911455,30.568104748388453,post-ramp,nan,nan,nan
0.00384932,1,0.0422786940140325,0.0,0.07824621825604794,0.07207067921960982,0.07824621825604794,0.07207067921960982,18.722963853254555,post-ramp,nan,nan,nan
0.00384932,2,8.881784197001252e-16,0.0,0.025894514558883586,0.07207067921960982,0.025894514558883586,0.07207067921960982,18.722963853254555,post-ramp,nan,nan,nan
0.00384932,3,0.0,0.0,4.2224319512840225e-05,0.10410209220610306,4.2224319512840225e-05,0.10410209220610306,27.044281121367685,post-ramp,0.10567163144244124,4.2218803049998144e-05,-5.516462842081182e-09
0.00384932,4,0.0,0.0,1.6396180861910636e-05,0.10410209220610306,1.6396180861910636e-05,0.10410209220610306,27.044281121367685,post-ramp,nan,nan,nan
0.00435111,1,0.04267087598833985,0.004004177643821911,0.07838934473001302,0.0720751975887944,0.07838934473001302,0.0720751975887944,16.564784064019157,post-ramp,nan,nan,nan
0.00435111,2,3.411636882866276e-05,0.004004177643821911,0.02601827272808155,0.0720751975887944,0.02601827272808155,0.0720751975887944,16.564784064019157,post-ramp,nan,nan,nan
0.00435111,3,2.2931434529027683e-10,0.004004177643821911,4.222083880378591e-05,0.10410861873936969,4.222083880378591e-05,0.10410861873936969,23.92691031469434,post-ramp,0.10567825637574788,4.222242223228534e-05,1.5834284994298287e-09
0.00435111,4,8.917844240841077e-11,0.004004177643821911,1.6394900818283986e-05,0.10410861873936969,1.6394900818283986e-05,0.10410861873936969,23.92691031469434,post-ramp,nan,nan,nan
0.00491832,1,0.04261188631210011,0.0040044613906953476,0.07855204055996712,0.07208030503251625,0.07855204055996712,0.07208030503251625,14.655472810332846,post-ramp,nan,nan,nan
0.00491832,2,2.5224762922881894e-05,0.0040044613906953476,0.026158999593062227,0.07208030503251625,0.026158999593062227,0.07208030503251625,14.655472810332846,post-ramp,nan,nan,nan
0.00491832,3,1.482440836753085e-10,0.0040044613906953476,4.2215513528454096e-05,0.10411599615807904,4.2215513528454096e-05,0.10411599615807904,21.16901628159189,post-ramp,0.10568574502323164,4.2225160857611854e-05,9.647329157758122e-09
0.00491832,4,5.764899668747603e-11,0.0040044613906953476,1.6392914122143054e-05,0.10411599615807904,1.6392914122143054e-05,0.10411599615807904,21.16901628159189,post-ramp,nan,nan,nan
0.005,1,0.04260419822758266,0.004004502251125563,0.07857555102368874,0.07208104052026014,0.07857555102368874,0.07208104052026014,14.416208104052028,post-ramp,nan,nan,nan
0.005,2,2.4151148844353543e-05,0.004004502251125563,0.026179339565723048,0.07208104052026014,0.026179339565723048,0.07208104052026014,14.416208104052028,post-ramp,nan,nan,nan
0.005,3,1.3944490007133936e-10,0.004004502251125563,4.2214624468961404e-05,0.10411705852926464,4.2214624468961404e-05,0.10411705852926464,20.82341170585293,post-ramp,0.10568682341170588,4.222543490239872e-05,1.0810433437313804e-08
0.005,4,5.4228621593210846e-11,0.004004502251125563,1.639258060404103e-05,0.10411705852926464,1.639258060404103e-05,0.10411705852926464,20.82341170585293,post-ramp,nan,nan,nan
0.00555948,1,0.04255695940846582,0.004004782131065533,0.07873711616761003,0.07208607835917959,0.07873711616761003,0.07208607835917959,12.966334685830255,post-ramp,nan,nan,nan
0.00555948,2,1.800549870267787e-05,0.004004782131065533,0.026319145326828775,0.07208607835917959,0.026319145326828775,0.07208607835917959,12.966334685830255,post-ramp,nan,nan,nan
0.00555948,3,9.306067028092002e-11,0.004004782131065533,4.2207714610498215e-05,0.10412433540770386,4.2207714610498215e-05,0.10412433540770386,18.729150101754815,post-ramp,0.10569421000308155,4.2226518748300634e-05,1.8804137802419518e-08
0.00555948,4,3.61923824243604e-11,0.004004782131065533,1.6389977814057488e-05,0.10412433540770386,1.6389977814057488e-05,0.10412433540770386,18.729150101754815,post-ramp,nan,nan,nan
