T_ramp,shape,L_max_ramp,t_peak_ramp,L_max_post,t_peak_post,L_max_full,t_peak_full,t_peak_full_over_Tramp,peak_location
0.362268,smootherstep,3.271571754837055e-05,0.2929234829024187,1.4908819727210698e-05,0.3626671693077565,3.271571754837055e-05,0.2929234829024187,0.8085822730752336,during-ramp
0.551845,smootherstep,2.558769375937686e-05,0.37802150542118435,6.017176517936207e-06,0.7346455671392828,2.558769375937686e-05,0.37802150542118435,0.6850139177145472,during-ramp
0.840631,smootherstep,1.827185146652255e-05,0.4940135754795663,7.1040316029780115e-06,0.9216671184320268,1.827185146652255e-05,0.4940135754795663,0.5876699473128713,during-ramp
1.28054,smootherstep,1.1784072217579933e-05,0.6579198498748958,6.590182051624538e-06,1.2848787656380318,1.1784072217579933e-05,0.6579198498748958,0.513783130456601,during-ramp
1.950657,smootherstep,6.7907341403383725e-06,0.8797077914929108,2.7554467640911184e-06,1.95859470558799,6.7907341403383725e-06,0.8797077914929108,0.4509802551104119,during-ramp
2.971452,smootherstep,3.5168913985472727e-06,1.198715773144287,6.501480065423948e-07,2.9739131776480403,3.5168913985472727e-06,1.198715773144287,0.40341078137701264,during-ramp
4.526437,smootherstep,1.6724565341519337e-06,1.6611371834862383,9.485094043526487e-08,4.53417319266055,1.6724565341519337e-06,1.6611371834862383,0.3669855967256892,during-ramp
6.89516,smootherstep,7.527325003309215e-07,2.360367306088407,1.0585428533715913e-08,6.90718011676397,7.527325003309215e-07,2.360367306088407,0.34232234003103734,during-ramp
10.503454,smootherstep,3.292670704979628e-07,3.395129174311926,1.083336975682414e-09,10.50946803502919,3.292670704979628e-07,3.395129174311926,0.3232393053096559,during-ramp
16.0,smootherstep,1.4231461697988834e-07,4.984153461217681,9.213518836759249e-11,16.013344453711426,1.4231461697988834e-07,4.984153461217681,0.31150959132610506,during-ramp
0.001,smoothstep,0.0,0.0,4.213354672266689e-05,0.10009591326105087,4.213354672266689e-05,0.10009591326105087,100.09591326105087,post-ramp
0.001523,smoothstep,0.0,0.0,4.213245147077771e-05,0.10677595329441202,4.213245147077771e-05,0.10677595329441202,70.1089647369744,post-ramp
0.00232,smoothstep,0.0,0.0,4.215367547288906e-05,0.10678658882402,4.215367547288906e-05,0.10678658882402,46.02870207931897,post-ramp
0.003535,smoothstep,0.0,0.0,4.218077137529974e-05,0.10680280233527939,4.218077137529974e-05,0.10680280233527939,30.21295681337465,post-ramp
0.005385,smoothstep,0.0,0.0,4.220970734269969e-05,0.10682748957464554,4.220970734269969e-05,0.10682748957464554,19.83797392286825,post-ramp
0.008202,smoothstep,1.0915046644299764e-09,0.006679067556296914,4.2224668292512035e-05,0.10686508090075063,4.2224668292512035e-05,0.10686508090075063,13.029149097872548,post-ramp
0.012495,smoothstep,2.0982149351311818e-10,0.0066826480400333605,4.217818333351886e-05,0.10692236864053377,4.217818333351886e-05,0.10692236864053377,8.55721237619318,post-ramp
0.019033,smoothstep,8.912634186231116e-09,0.013376201834862387,4.21895083384527e-05,0.11369771559633028,4.21895083384527e-05,0.11369771559633028,5.973714894989244,post-ramp
0.028994,smoothstep,2.9705396631385383e-07,0.026785634695579652,4.208308875330857e-05,0.12053535613010843,4.208308875330857e-05,0.12053535613010843,4.157251711737202,post-ramp
0.044166,smoothstep,1.1188107533754987e-06,0.04025437531276064,4.204529192453066e-05,0.1274721884904087,4.204529192453066e-05,0.1274721884904087,2.886206323651875,post-ramp
0.067279,smoothstep,3.747621325267403e-06,0.06055505504587155,4.1863990984047916e-05,0.13456678899082566,4.1863990984047916e-05,0.13456678899082566,2.0001306349800925,post-ramp
0.102486,smoothstep,1.7099263708963974e-05,0.10136554628857382,4.139649783585497e-05,0.15542717097581318,4.139649783585497e-05,0.15542717097581318,1.516569784905384,post-ramp
